profile,file,transcript,duration_sec,sample_rate
indian_synthetic,indian_synthetic/indian_synthetic_long_01.wav,"Please explain the complete path in your BTEC RAG system, starting from the source document, then chunking, embeddings, retrieval, generation, validation, teacher approval, and finally saving the approved question.",14.41,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_02.wav,"Imagine the interviewer asks why you did not use a large language model for the assignment similarity checker. Explain how embeddings, cosine similarity, metadata filters, and teacher review solve that problem without a generation step.",15.11,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_03.wav,"Describe how you would design safe database access for an AI agent in a government system, including limited permissions, a controlled service, validation, logging, and human approval before any sensitive write operation.",14.47,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_04.wav,"Explain why a strong language model can still produce a bad RAG answer when retrieval is weak, and describe how you would check chunking, metadata filters, embeddings, ranking, and the retrieved passages before changing the model.",14.88,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_05.wav,"Walk me through the difference between a fixed automated workflow and an agentic workflow, and explain how state, tools, validation, retries, stop conditions, and human approval change the behavior of the system.",14.22,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_06.wav,"Tell me how you would evaluate an early warning model for students, why recall matters, why accuracy alone can be misleading, and how precision helps prevent teachers from receiving too many unnecessary alerts.",13.38,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_07.wav,"Explain how you would isolate data between multiple schools in one RAG platform, including backend filtering, school identifiers, metadata, separate collections when needed, and tests that prevent cross school retrieval.",14.75,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_08.wav,"Describe what should happen when an AI generated question fails validation more than once, including retry limits, logging, escalation to a teacher, and why the system should never continue retrying forever.",13.56,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_09.wav,"Compare RAG, fine tuning, and agentic AI in one practical explanation, and explain when you would use each approach in a real project where the documents can change but the output style should remain controlled.",14.25,16000
indian_synthetic,indian_synthetic/indian_synthetic_long_10.wav,"If you were asked to improve an interview assistant for a real production environment, explain how you would test system audio capture, voice activity detection, speech to text, technical term repair, intent matching, confidence checks, latency, and safe fallback behavior.",18.58,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_01.wav,"Please explain the complete path in your BTEC RAG system, starting from the source document, then chunking, embeddings, retrieval, generation, validation, teacher approval, and finally saving the approved question.",16.61,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_02.wav,"Imagine the interviewer asks why you did not use a large language model for the assignment similarity checker. Explain how embeddings, cosine similarity, metadata filters, and teacher review solve that problem without a generation step.",17.35,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_03.wav,"Describe how you would design safe database access for an AI agent in a government system, including limited permissions, a controlled service, validation, logging, and human approval before any sensitive write operation.",16.69,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_04.wav,"Explain why a strong language model can still produce a bad RAG answer when retrieval is weak, and describe how you would check chunking, metadata filters, embeddings, ranking, and the retrieved passages before changing the model.",17.26,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_05.wav,"Walk me through the difference between a fixed automated workflow and an agentic workflow, and explain how state, tools, validation, retries, stop conditions, and human approval change the behavior of the system.",16.39,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_06.wav,"Tell me how you would evaluate an early warning model for students, why recall matters, why accuracy alone can be misleading, and how precision helps prevent teachers from receiving too many unnecessary alerts.",15.55,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_07.wav,"Explain how you would isolate data between multiple schools in one RAG platform, including backend filtering, school identifiers, metadata, separate collections when needed, and tests that prevent cross school retrieval.",16.86,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_08.wav,"Describe what should happen when an AI generated question fails validation more than once, including retry limits, logging, escalation to a teacher, and why the system should never continue retrying forever.",15.63,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_09.wav,"Compare RAG, fine tuning, and agentic AI in one practical explanation, and explain when you would use each approach in a real project where the documents can change but the output style should remain controlled.",16.5,16000
jordanian_synthetic,jordanian_synthetic/jordanian_synthetic_long_10.wav,"If you were asked to improve an interview assistant for a real production environment, explain how you would test system audio capture, voice activity detection, speech to text, technical term repair, intent matching, confidence checks, latency, and safe fallback behavior.",21.29,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_01.wav,"Please explain the complete path in your BTEC RAG system, starting from the source document, then chunking, embeddings, retrieval, generation, validation, teacher approval, and finally saving the approved question.",15.58,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_02.wav,"Imagine the interviewer asks why you did not use a large language model for the assignment similarity checker. Explain how embeddings, cosine similarity, metadata filters, and teacher review solve that problem without a generation step.",16.2,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_03.wav,"Describe how you would design safe database access for an AI agent in a government system, including limited permissions, a controlled service, validation, logging, and human approval before any sensitive write operation.",15.67,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_04.wav,"Explain why a strong language model can still produce a bad RAG answer when retrieval is weak, and describe how you would check chunking, metadata filters, embeddings, ranking, and the retrieved passages before changing the model.",16.08,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_05.wav,"Walk me through the difference between a fixed automated workflow and an agentic workflow, and explain how state, tools, validation, retries, stop conditions, and human approval change the behavior of the system.",15.38,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_06.wav,"Tell me how you would evaluate an early warning model for students, why recall matters, why accuracy alone can be misleading, and how precision helps prevent teachers from receiving too many unnecessary alerts.",14.53,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_07.wav,"Explain how you would isolate data between multiple schools in one RAG platform, including backend filtering, school identifiers, metadata, separate collections when needed, and tests that prevent cross school retrieval.",15.84,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_08.wav,"Describe what should happen when an AI generated question fails validation more than once, including retry limits, logging, escalation to a teacher, and why the system should never continue retrying forever.",14.63,16000
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_09.wav,"Compare RAG, fine tuning, and agentic AI in one practical explanation, and explain when you would use each approach in a real project where the documents can change but the output style should remain controlled.",15.35,16000
